Date,Price,Account Value
07/01/2020,"25,734.97",1000000
07/02/2020,"25,827.36",1003590.057
07/06/2020,"26,287.03",1021451.744
07/07/2020,"25,890.18",1006031.093
07/08/2020,"26,067.28",1012912.78
07/09/2020,"25,706.09",998877.7916
07/10/2020,"26,075.30",1013224.418
07/13/2020,"26,085.80",1013632.423
07/14/2020,"26,642.59",1035267.964
07/15/2020,"26,870.10",1044108.464
07/16/2020,"26,734.71",1038847.529
07/17/2020,"26,671.95",1036408.824
07/20/2020,"26,680.87",1036755.434
07/21/2020,"26,840.40",1042954.392
07/22/2020,"27,005.84",1049382.999
07/23/2020,"26,652.33",1035646.438
07/24/2020,"26,469.89",1028557.251
07/27/2020,"26,584.77",1033021.216
07/28/2020,"26,379.28",1025036.361
07/29/2020,"26,539.57",1031264.851
07/30/2020,"26,313.65",1022486.135
07/31/2020,"26,428.32",1026941.939
08/03/2020,"26,664.40",1036115.449
08/04/2020,"26,828.47",1042490.821
08/05/2020,"27,201.52",1056986.661
08/06/2020,"27,386.98",1064193.197
08/07/2020,"27,433.48",1066000.077
08/10/2020,"27,791.44",1079909.555
08/11/2020,"27,686.91",1075847.767
08/12/2020,"27,976.84",1087113.76
08/13/2020,"27,896.72",1084000.486
08/14/2020,"27,931.02",1085333.303
08/17/2020,"27,844.91",1081987.273
08/18/2020,"27,778.07",1079390.028
08/19/2020,"27,692.88",1076079.747
08/20/2020,"27,739.73",1077900.227
08/21/2020,"27,930.33",1085306.492
08/24/2020,"28,308.46",1099999.728
08/25/2020,"28,248.44",1097667.493
08/26/2020,"28,331.92",1100911.328
08/27/2020,"28,492.27",1107142.149
08/28/2020,"28,653.87",1113421.543
08/31/2020,"28,430.05",1104724.428
09/01/2020,"28,645.66",1113102.522
09/02/2020,"29,100.50",1130776.527
09/03/2020,"28,292.73",1099388.497
09/04/2020,"28,133.31",1093193.814
09/08/2020,"27,500.89",1068619.47
09/09/2020,"27,940.47",1085700.508
09/10/2020,"27,534.58",1069928.584
09/11/2020,"27,665.64",1075021.265
09/14/2020,"27,993.33",1087754.522
09/15/2020,"27,995.60",1087842.729
09/16/2020,"28,032.38",1089271.913
09/17/2020,"27,901.98",1084204.878
09/18/2020,"27,657.42",1074701.855
09/21/2020,"27,147.70",1054895.343
09/22/2020,"27,288.18",1060354.063
09/23/2020,"26,763.13",1039951.863
09/24/2020,"26,815.44",1041984.506
09/25/2020,"27,173.96",1055915.744
09/28/2020,"27,584.06",1071851.259
09/29/2020,"27,452.66",1066745.366
09/30/2020,"27,781.70",1079531.082
10/01/2020,"27,816.90",1080898.87
10/02/2020,"27,682.81",1075688.45
10/05/2020,"28,148.64",1093789.501
10/06/2020,"27,772.76",1079183.694
10/07/2020,"28,303.46",1099805.44
10/08/2020,"28,425.51",1104548.014
10/09/2020,"28,586.90",1110819.247
10/12/2020,"28,837.52",1120557.747
10/13/2020,"28,679.81",1114429.51
10/14/2020,"28,514.00",1107986.526
10/15/2020,"28,494.20",1107217.145
10/16/2020,"28,606.31",1111573.474
10/19/2020,"28,195.42",1095607.261
10/20/2020,"28,308.79",1100012.551
10/21/2020,"28,210.82",1096205.669
10/22/2020,"28,363.66",1102144.669
10/23/2020,"28,335.57",1101053.158
10/26/2020,"27,685.38",1075788.314
10/27/2020,"27,463.19",1067154.537
10/28/2020,"26,519.95",1030502.464
10/29/2020,"26,659.11",1035909.892
10/30/2020,"26,501.60",1029789.427
11/02/2020,"26,925.05",1046243.691
11/03/2020,"27,480.03",1067808.9
11/04/2020,"27,847.66",1082094.131
11/05/2020,"28,390.18",1103175.174
11/06/2020,"28,323.40",1100580.261
11/09/2020,"29,157.97",1133009.675
11/10/2020,"29,420.92",1143227.29
11/11/2020,"29,397.63",1142322.295
11/12/2020,"29,080.17",1129986.551
11/13/2020,"29,479.81",1145515.616
11/16/2020,"29,950.44",1163803.183
11/17/2020,"29,783.35",1157310.461
11/18/2020,"29,438.42",1143907.298
11/19/2020,"29,483.23",1145648.509
11/20/2020,"29,263.48",1137109.544
