,date,account_value
0,2020-07-01,1000000.0
1,2020-07-02,1000185.0175654527
2,2020-07-06,1004185.6525780335
3,2020-07-07,1000075.8174640196
4,2020-07-08,1003081.1023539047
5,2020-07-09,997557.1135905532
6,2020-07-10,1006815.990342842
7,2020-07-13,1006959.6816409987
8,2020-07-14,1020945.4894882278
9,2020-07-15,1028440.7658793563
10,2020-07-16,1021028.6058861923
11,2020-07-17,1015643.5608794021
12,2020-07-20,1021752.9715800895
13,2020-07-21,1026321.8426391601
14,2020-07-22,1026355.9773121452
15,2020-07-23,1008552.8866959877
16,2020-07-24,1000790.2370212974
17,2020-07-27,1006817.3421357612
18,2020-07-28,999446.551643833
19,2020-07-29,1006958.368383728
20,2020-07-30,998694.6427344742
21,2020-07-31,1014273.4687184028
22,2020-08-03,1031573.8033591537
23,2020-08-04,1035348.2718267173
24,2020-08-05,1042281.8155474319
25,2020-08-06,1054416.0696634026
26,2020-08-07,1052732.2756079254
27,2020-08-10,1063476.6452560576
28,2020-08-11,1051809.2299473495
29,2020-08-12,1067787.5204928054
30,2020-08-13,1066136.0534853362
31,2020-08-14,1067620.028626274
32,2020-08-17,1064293.8694414978
33,2020-08-18,1065507.4031748162
34,2020-08-19,1063150.4860137748
35,2020-08-20,1071837.7819281197
36,2020-08-21,1091604.1088625565
37,2020-08-24,1105009.6465857239
38,2020-08-25,1102745.927942398
39,2020-08-26,1109842.29661034
40,2020-08-27,1116526.5247984962
41,2020-08-28,1122301.0719055748
42,2020-08-31,1129218.275927738
43,2020-09-01,1151611.7989765282
44,2020-09-02,1154013.6043408164
45,2020-09-03,1098843.7550620309
46,2020-09-04,1095704.7510774422
47,2020-09-08,1050905.2955110741
48,2020-09-09,1076675.3100621987
49,2020-09-10,1051402.6015495413
50,2020-09-11,1047934.7273174324
51,2020-09-14,1066982.8521665153
52,2020-09-15,1069074.0093623619
53,2020-09-16,1055859.1404993476
54,2020-09-17,1046456.890848957
55,2020-09-18,1030123.7298049622
56,2020-09-21,1028263.5295076065
57,2020-09-22,1037564.9789402885
58,2020-09-23,1007159.855139637
59,2020-09-24,1012580.1165226937
60,2020-09-25,1033603.5450886727
61,2020-09-28,1052616.004973316
62,2020-09-29,1044980.1178862876
63,2020-09-30,1059725.708401165
64,2020-10-01,1064199.4754310797
65,2020-10-02,1045665.4085477561
66,2020-10-05,1068890.0616586877
67,2020-10-06,1048219.341246685
68,2020-10-07,1064825.8295202446
69,2020-10-08,1075091.870356556
70,2020-10-09,1086085.5832915383
71,2020-10-12,1118990.071511608
72,2020-10-13,1100253.011771618
73,2020-10-14,1098364.5053177031
74,2020-10-15,1094536.3640540275
75,2020-10-16,1090661.587585209
76,2020-10-19,1066241.4688377343
77,2020-10-20,1070751.4720916862
78,2020-10-21,1064238.058645794
79,2020-10-22,1068207.917787075
80,2020-10-23,1061206.4309784279
81,2020-10-26,1045876.7445983161
82,2020-10-27,1047480.293808693
83,2020-10-28,1005607.5695960465
84,2020-10-29,1023805.3994192963
85,2020-10-30,999920.6631522065
86,2020-11-02,1009818.8979430085
87,2020-11-03,1025183.8461012726
88,2020-11-04,1046729.0076011429
89,2020-11-05,1072154.4323701249
90,2020-11-06,1073177.9172655563
91,2020-11-09,1100469.3882220534
92,2020-11-10,1102373.818887268
93,2020-11-11,1112162.452177475
