,date,account_value
0,2020-07-01,1000000.0
1,2020-07-02,1000562.0220077514
2,2020-07-06,1006366.8460430145
3,2020-07-07,999415.1569458008
4,2020-07-08,1006197.1852043152
5,2020-07-09,997671.892955017
6,2020-07-10,1008826.876096344
7,2020-07-13,996237.5746292114
8,2020-07-14,1011511.8259146195
9,2020-07-15,1020712.3172628861
10,2020-07-16,1012981.41814637
11,2020-07-17,1013709.6965429764
12,2020-07-20,1026485.5534002762
13,2020-07-21,1022224.6888754349
14,2020-07-22,1024727.7351400834
15,2020-07-23,1010900.682977913
16,2020-07-24,1002698.031099556
17,2020-07-27,1008028.0835897904
18,2020-07-28,1005952.8350164872
19,2020-07-29,1016660.1214163285
20,2020-07-30,1004872.8863012772
21,2020-07-31,1005358.286379097
22,2020-08-03,1021947.2063162308
23,2020-08-04,1022535.3776571732
24,2020-08-05,1037873.525491951
25,2020-08-06,1049698.290437935
26,2020-08-07,1045998.1011755448
27,2020-08-10,1046020.1845037919
28,2020-08-11,1042294.6486990433
29,2020-08-12,1050300.4534246903
30,2020-08-13,1046490.9723913651
31,2020-08-14,1045243.507448433
32,2020-08-17,1043332.8392508011
33,2020-08-18,1047466.5805380326
34,2020-08-19,1047382.9163076859
35,2020-08-20,1055077.1996786576
36,2020-08-21,1053268.8528768998
37,2020-08-24,1067045.411958931
38,2020-08-25,1078268.251123665
39,2020-08-26,1129249.2321875077
40,2020-08-27,1143402.718096016
41,2020-08-28,1146034.646913765
42,2020-08-31,1133072.8244039994
43,2020-09-01,1144553.1675894242
44,2020-09-02,1159436.815675972
45,2020-09-03,1122504.9946691971
46,2020-09-04,1110392.7401144486
47,2020-09-08,1076966.637438057
48,2020-09-09,1096168.637186287
49,2020-09-10,1082087.5183546524
50,2020-09-11,1080041.2735044938
51,2020-09-14,1090060.5391714554
52,2020-09-15,1092881.6214544754
53,2020-09-16,1093818.848200081
54,2020-09-17,1082561.2847464066
55,2020-09-18,1073483.5808203202
56,2020-09-21,1061047.1919805985
57,2020-09-22,1069976.006036995
58,2020-09-23,1039131.8010809403
59,2020-09-24,1047818.0224707108
60,2020-09-25,1061298.3046438675
61,2020-09-28,1078131.3891165238
62,2020-09-29,1072503.9458639603
63,2020-09-30,1082798.008783577
64,2020-10-01,1085953.781816719
65,2020-10-02,1076447.8947317582
66,2020-10-05,1091589.6874105912
67,2020-10-06,1080487.0226232987
68,2020-10-07,1102415.1345312577
69,2020-10-08,1114819.33737397
70,2020-10-09,1125246.083330391
71,2020-10-12,1137221.3987371903
72,2020-10-13,1131760.3676702958
73,2020-10-14,1124499.853769539
74,2020-10-15,1117994.117769478
75,2020-10-16,1119378.0037710648
76,2020-10-19,1102421.7841894608
77,2020-10-20,1103468.935434578
78,2020-10-21,1098615.7893469315
79,2020-10-22,1101846.42746949
80,2020-10-23,1104724.0524313431
81,2020-10-26,1075329.4088156205
82,2020-10-27,1073611.8689749222
83,2020-10-28,1030328.287740944
84,2020-10-29,1039215.8688223343
85,2020-10-30,1033047.2762167435
86,2020-11-02,1045205.4967520218
87,2020-11-03,1071877.5465643387
88,2020-11-04,1090401.0016958695
89,2020-11-05,1119858.6092474442
90,2020-11-06,1119666.3237326127
91,2020-11-09,1161983.6738760453
92,2020-11-10,1156409.3522894364
93,2020-11-11,1160141.802797554
94,2020-11-12,1144982.9188330155
95,2020-11-13,1159878.380960701
96,2020-11-16,1176328.5971930008
97,2020-11-17,1172765.115122078
98,2020-11-18,1162562.1015417557
99,2020-11-19,1169251.6135885697
100,2020-11-20,1156929.581842659
101,2020-11-23,1172163.8204290848
102,2020-11-24,1196797.6525747757
103,2020-11-25,1183582.3954107743
104,2020-11-27,1183867.9614279252
105,2020-11-30,1171591.3892919999
106,2020-12-01,1176296.0327932816
107,2020-12-02,1168959.0193884354
108,2020-12-03,1165308.1326696854
109,2020-12-04,1182242.6948111039
110,2020-12-07,1179196.725443123
111,2020-12-08,1182338.7028295975
112,2020-12-09,1173099.573702095
113,2020-12-10,1171397.3255712967
114,2020-12-11,1185453.136179207
115,2020-12-14,1176377.7213308793
116,2020-12-15,1187315.7479803544
117,2020-12-16,1191605.6872198563
