,date,account_value
0,2020-07-01,1000000.0
1,2020-07-02,1000030.0524956896
2,2020-07-06,1000305.0220100025
3,2020-07-07,999888.413812878
4,2020-07-08,1000103.751119469
5,2020-07-09,999431.0064512142
6,2020-07-10,1000383.1771231655
7,2020-07-13,1000092.3907235799
8,2020-07-14,1001880.1659625934
9,2020-07-15,1002309.7369123424
10,2020-07-16,1002327.2036816673
11,2020-07-17,1002339.1878675116
12,2020-07-20,1002107.9723053512
13,2020-07-21,1002956.8958689078
14,2020-07-22,1003860.5057644307
15,2020-07-23,1002983.1804627952
16,2020-07-24,1002944.8164800833
17,2020-07-27,1003901.3863997038
18,2020-07-28,1001669.0479566075
19,2020-07-29,1003382.0534040333
20,2020-07-30,1001649.8305402597
21,2020-07-31,1000652.4347515557
22,2020-08-03,1001876.5511794008
23,2020-08-04,1002579.1938616594
24,2020-08-05,1004900.2707213359
25,2020-08-06,1006317.6402934111
26,2020-08-07,1008925.5597792969
27,2020-08-10,1011844.1504128455
28,2020-08-11,1012575.7096665074
29,2020-08-12,1014689.5253035732
30,2020-08-13,1014912.2989562413
31,2020-08-14,1014205.3747018202
32,2020-08-17,1014895.5988829306
33,2020-08-18,1014326.8025080451
34,2020-08-19,1012931.4374482343
35,2020-08-20,1012222.4563050764
36,2020-08-21,1012654.6619749945
37,2020-08-24,1018607.5023533589
38,2020-08-25,1020218.9713733061
39,2020-08-26,1034642.0864409559
40,2020-08-27,1038709.3558016432
41,2020-08-28,1038027.88627536
42,2020-08-31,1034689.7569317052
43,2020-09-01,1038788.3744546355
44,2020-09-02,1045121.4644700622
45,2020-09-03,1031732.5371683692
46,2020-09-04,1027395.2461608276
47,2020-09-08,1016446.7636975287
48,2020-09-09,1026084.4165079269
49,2020-09-10,1018683.035151432
50,2020-09-11,1022715.8638224658
51,2020-09-14,1031363.2667593879
52,2020-09-15,1032020.7831431772
53,2020-09-16,1031277.7151528322
54,2020-09-17,1028358.398104172
55,2020-09-18,1021374.0713378298
56,2020-09-21,1009096.3815078621
57,2020-09-22,1011661.8020567932
58,2020-09-23,995987.7248452452
59,2020-09-24,997622.6647986143
60,2020-09-25,1003069.1841244048
61,2020-09-28,1012849.9632796058
62,2020-09-29,1008401.8777611426
63,2020-09-30,1017976.3857160909
64,2020-10-01,1019563.1970988807
65,2020-10-02,1019656.7432037771
66,2020-10-05,1030879.8907716672
67,2020-10-06,1022798.7953810727
68,2020-10-07,1038981.7227983625
69,2020-10-08,1046659.1625023
70,2020-10-09,1052248.2754343145
71,2020-10-12,1056099.235325279
72,2020-10-13,1052161.3233133429
73,2020-10-14,1046423.4318099439
74,2020-10-15,1046560.0159547613
75,2020-10-16,1049183.9041785735
76,2020-10-19,1036654.3620348242
77,2020-10-20,1046089.0612659986
78,2020-10-21,1045183.1193238562
79,2020-10-22,1047079.0346326636
80,2020-10-23,1046753.9607975195
81,2020-10-26,1022802.4189052504
82,2020-10-27,1017629.8162539671
83,2020-10-28,993651.7399432028
84,2020-10-29,994026.8423506296
85,2020-10-30,988774.5917104739
86,2020-11-02,1003630.9226662425
87,2020-11-03,1025254.8686443651
88,2020-11-04,1027639.3632714136
89,2020-11-05,1049472.588343004
90,2020-11-06,1046289.0322818125
91,2020-11-09,1069234.609904829
92,2020-11-10,1077458.1509703654
93,2020-11-11,1077911.41886215
94,2020-11-12,1067118.274298002
95,2020-11-13,1079720.9165578668
96,2020-11-16,1093839.636833227
97,2020-11-17,1083350.0875168971
98,2020-11-18,1073717.5307123773
99,2020-11-19,1080434.0559439142
100,2020-11-20,1073825.8080011653
101,2020-11-23,1083455.0853630083
102,2020-11-24,1100384.2285598048
103,2020-11-25,1092930.0645850543
104,2020-11-27,1093064.8002307452
105,2020-11-30,1081342.2680043657
106,2020-12-01,1082379.4250412958
107,2020-12-02,1072635.8879778574
108,2020-12-03,1070743.4445212763
109,2020-12-04,1074075.9646148738
110,2020-12-07,1067794.8742894342
111,2020-12-08,1070269.4507216853
112,2020-12-09,1069883.2413378581
113,2020-12-10,1068023.725293249
114,2020-12-11,1065028.4171822565
115,2020-12-14,1060392.016588766
116,2020-12-15,1070545.454545927
117,2020-12-16,1074522.7190347193
118,2020-12-17,1082641.8800867365
119,2020-12-18,1079264.4849292315
120,2020-12-21,1079828.1234084337
121,2020-12-22,1073862.5732031344
122,2020-12-23,1076423.8110623492
123,2020-12-24,1078611.8669443987
124,2020-12-28,1080424.527131376
125,2020-12-29,1073682.2661848506
126,2020-12-30,1074310.7358015536
127,2020-12-31,1080543.3516521165
128,2021-01-04,1068655.24578174
129,2021-01-05,1071203.4967664583
130,2021-01-06,1085730.477206209
131,2021-01-07,1085618.6220964564
132,2021-01-08,1088945.8921757373
133,2021-01-11,1087792.874413576
134,2021-01-12,1096385.4817621782
135,2021-01-13,1096909.07603903
136,2021-01-14,1088255.13530377
137,2021-01-15,1090894.2254192447
138,2021-01-19,1093152.0573305835
139,2021-01-20,1099950.4281280688
140,2021-01-21,1105322.7224690265
141,2021-01-22,1106763.3283853473
142,2021-01-25,1107384.6855656374
143,2021-01-26,1105047.10582559
144,2021-01-27,1090083.2095080242
145,2021-01-28,1099310.5909939632
146,2021-01-29,1075407.9034787272
147,2021-02-01,1078568.4671776332
148,2021-02-02,1092448.0714017847
149,2021-02-03,1095803.1234811763
150,2021-02-04,1114516.6480102749
151,2021-02-05,1118621.4976928995
152,2021-02-08,1125047.3019314327
153,2021-02-09,1120394.0427261256
154,2021-02-10,1122524.351165136
155,2021-02-11,1121271.5447171533
156,2021-02-12,1123329.2052833003
157,2021-02-16,1126923.1320648936
158,2021-02-17,1135576.5934349382
159,2021-02-18,1138782.718005659
160,2021-02-19,1131149.8578424586
161,2021-02-22,1128256.7961245745
162,2021-02-23,1119320.9956718998
163,2021-02-24,1121116.0538322313
164,2021-02-25,1103287.1701480693
165,2021-02-26,1086572.7675802554
166,2021-03-01,1102350.7043678835
167,2021-03-02,1096988.378280916
168,2021-03-03,1093573.8829843844
169,2021-03-04,1079588.2579706248
170,2021-03-05,1097549.4816571977
171,2021-03-08,1113970.7956229572
172,2021-03-09,1116708.503771074
173,2021-03-10,1131322.499389635
174,2021-03-11,1136220.374956293
175,2021-03-12,1144952.221640024
176,2021-03-15,1156068.3496730288
177,2021-03-16,1156234.805200121
178,2021-03-17,1156358.570996866
179,2021-03-18,1160346.6546623171
180,2021-03-19,1156590.029604391
181,2021-03-22,1156451.0760032062
182,2021-03-23,1154667.4280865954
183,2021-03-24,1158921.7415677202
