,date,account_value
0,2020-07-01,1000000.0
1,2020-07-02,1000062.7040101279
2,2020-07-06,1000627.754696186
3,2020-07-07,1000154.1994082793
4,2020-07-08,1000581.1503201824
5,2020-07-09,999979.5088115232
6,2020-07-10,1000999.6026849669
7,2020-07-13,999961.3258361472
8,2020-07-14,1002935.1445277137
9,2020-07-15,1003575.8358797797
10,2020-07-16,1003014.2074868581
11,2020-07-17,1003393.4068399731
12,2020-07-20,1004901.5296249693
13,2020-07-21,1004230.4710784453
14,2020-07-22,1005315.9323713608
15,2020-07-23,1001736.1584893457
16,2020-07-24,999367.7083108255
17,2020-07-27,1002256.586712658
18,2020-07-28,999680.059580803
19,2020-07-29,1000651.8230736961
20,2020-07-30,997190.1119212229
21,2020-07-31,996884.9644091191
22,2020-08-03,1002099.8669910207
23,2020-08-04,1003773.8694859546
24,2020-08-05,1008302.9833427777
25,2020-08-06,1012722.1362485812
26,2020-08-07,1012012.6227168315
27,2020-08-10,1013446.3502277951
28,2020-08-11,1009549.2740900691
29,2020-08-12,1016869.3427270052
30,2020-08-13,1015895.7306731418
31,2020-08-14,1015996.3506065332
32,2020-08-17,1018319.6080747568
33,2020-08-18,1020009.3360144504
34,2020-08-19,1017870.8143253827
35,2020-08-20,1019551.2649757846
36,2020-08-21,1020353.6687039073
37,2020-08-24,1025966.5194842647
38,2020-08-25,1033544.0134460223
39,2020-08-26,1064172.119935429
40,2020-08-27,1074382.0711106914
41,2020-08-28,1077889.6460539706
42,2020-08-31,1072256.20676223
43,2020-09-01,1084899.6425282403
44,2020-09-02,1098253.0673649407
45,2020-09-03,1068635.9130663644
46,2020-09-04,1058278.1397269326
47,2020-09-08,1032297.8809029352
48,2020-09-09,1048658.8217732392
49,2020-09-10,1034505.7134901391
50,2020-09-11,1038774.5483353616
51,2020-09-14,1050853.6896620542
52,2020-09-15,1049659.0662152884
53,2020-09-16,1052886.447561243
54,2020-09-17,1049950.4284580327
55,2020-09-18,1040314.3716470129
56,2020-09-21,1020767.7886493475
57,2020-09-22,1026868.4614224797
58,2020-09-23,1014249.3981113455
59,2020-09-24,1009855.2246797086
60,2020-09-25,1027847.7017663175
61,2020-09-28,1044130.0333265973
