,date,account_value
0,2020-07-01,1000000.0
1,2020-07-02,1000146.9695899964
2,2020-07-06,1003292.179560089
3,2020-07-07,1001064.0582637786
4,2020-07-08,1003017.6278972623
5,2020-07-09,999734.2014942166
6,2020-07-10,1007858.7534221646
7,2020-07-13,1005013.8781097409
8,2020-07-14,1016301.954917526
9,2020-07-15,1024236.2080821989
10,2020-07-16,1016003.9424003599
11,2020-07-17,1014166.1900295255
12,2020-07-20,1019218.7967758176
13,2020-07-21,1021331.6718525693
14,2020-07-22,1019596.7131105497
15,2020-07-23,1006900.9493776396
16,2020-07-24,1000705.0574327543
17,2020-07-27,1006849.9684129789
18,2020-07-28,1000971.7824541166
19,2020-07-29,1006490.0478807524
20,2020-07-30,997234.2694002226
21,2020-07-31,1004199.7720933988
22,2020-08-03,1009454.4740816191
23,2020-08-04,1017785.5257173612
24,2020-08-05,1028872.5840440824
25,2020-08-06,1036250.7742143705
26,2020-08-07,1037581.5063005522
27,2020-08-10,1048690.8511568143
28,2020-08-11,1044757.2773195341
29,2020-08-12,1055814.710447891
30,2020-08-13,1048499.0448442533
31,2020-08-14,1047384.7926012113
32,2020-08-17,1046283.069822891
33,2020-08-18,1045510.5024858549
34,2020-08-19,1047664.1183458403
35,2020-08-20,1050966.0665880276
36,2020-08-21,1062847.0967088772
37,2020-08-24,1076508.6825090481
38,2020-08-25,1073916.3811021878
39,2020-08-26,1080913.347265823
40,2020-08-27,1090199.097593887
41,2020-08-28,1101070.021864517
42,2020-08-31,1097446.041243179
43,2020-09-01,1120383.7777391507
44,2020-09-02,1131775.3100114895
45,2020-09-03,1094725.5573412015
46,2020-09-04,1091715.6665483548
47,2020-09-08,1057878.4325395657
48,2020-09-09,1073186.1473527981
49,2020-09-10,1057648.8332811429
50,2020-09-11,1061450.568083389
51,2020-09-14,1074438.5325914456
52,2020-09-15,1071747.0770708157
53,2020-09-16,1067610.081251724
54,2020-09-17,1055589.1213823392
55,2020-09-18,1043273.8981920317
56,2020-09-21,1038259.4855943754
57,2020-09-22,1048258.2639299467
58,2020-09-23,1036414.9888444975
59,2020-09-24,1047093.3914934233
60,2020-09-25,1054943.1348100735
61,2020-09-28,1068699.8890214993
62,2020-09-29,1065647.4497514798
63,2020-09-30,1077043.9464555813
64,2020-10-01,1084180.009565933
65,2020-10-02,1075119.0577531888
66,2020-10-05,1088030.7687975003
67,2020-10-06,1076879.5826097562
68,2020-10-07,1089996.407133682
69,2020-10-08,1097593.4048448636
70,2020-10-09,1107844.76187001
71,2020-10-12,1126089.6397386624
72,2020-10-13,1115734.0061937405
73,2020-10-14,1108994.9500108792
74,2020-10-15,1104373.0376878812
75,2020-10-16,1099322.8646074368
76,2020-10-19,1086409.6762834622
77,2020-10-20,1095317.911329849
78,2020-10-21,1090364.397291763
79,2020-10-22,1091722.155821426
